model,threshold,accuracy,precision,recall,f1,f2
weighted_avg,0.15,0.27454627076252164,0.2514474215699475,0.9508655804480651,0.39772122244702374,0.6109729765098475
weighted_avg,0.2,0.42185596100814465,0.28221594314581727,0.8391038696537678,0.42237457551098867,0.6016574787338907
weighted_avg,0.21,0.4390431603924838,0.2877279534842745,0.8314663951120163,0.42751488971791346,0.60340686546207
weighted_avg,0.22,0.4564868851407683,0.2935996368588289,0.8233197556008147,0.4328448102790604,0.605006173532383
weighted_avg,0.23,0.47617520682357467,0.3012375773485843,0.8179735234215886,0.44031793887899134,0.6090302524831299
weighted_avg,0.24,0.48880908099788367,0.3057930636948794,0.810336048879837,0.4440259468508056,0.6092798897438843
weighted_avg,0.25,0.501507086513179,0.31083341533011905,0.8042260692464358,0.44837130083031723,0.6104347826086957
weighted_avg,0.26,0.5116398383890207,0.3147422369611094,0.7973523421588594,0.45132934649470424,0.6102170439932978
weighted_avg,0.27,0.520554094786122,0.3181258970678696,0.789969450101833,0.45358865662914777,0.6092436974789915
weighted_avg,0.28,0.5355608285769256,0.3251002744352966,0.7841140529531568,0.4596328906133413,0.6114508060033352
weighted_avg,0.29,0.549413198229975,0.33144722524483133,0.7754582484725051,0.4644000609849062,0.6115974620512409
weighted_avg,0.3,0.5669210543192458,0.3397254056507432,0.7622199592668024,0.4699788085707558,0.6103975535168196
weighted_avg,0.31,0.587314820752902,0.3500059830082565,0.744653767820774,0.47619047619047616,0.6076280693007603
