mask_type,split_num,method,method_name,variable,location,rmse,mae,r2,missing_count
block_14day,0,eof_pca,EOF/PCA Spatial Modes,wind_u_ms,Roxas Polygon,0.849620185468557,0.568311277739539,0.6681280919514221,56
block_14day,0,eof_pca,EOF/PCA Spatial Modes,wind_v_ms,Gigantes Polygon,1.1441225256886587,0.6999322580772022,0.8774810140543152,56
block_14day,0,eof_pca,EOF/PCA Spatial Modes,wind_v_ms,Roxas Polygon,0.5598545424194005,0.4033270560165864,0.8579952626465354,56
block_14day,0,kriging,Spatial Kriging,CHL,Gigantes Polygon,0.22997477283311185,0.16848504182255195,0.06448083221038414,56
block_14day,0,kriging,Spatial Kriging,CHL,Roxas Polygon,,,,0
block_14day,0,kriging,Spatial Kriging,mlotst,Gigantes Polygon,3.261773741269079,2.529966316351448,-0.15565354475449578,56
block_14day,0,kriging,Spatial Kriging,mlotst,Roxas Polygon,,,,0
block_14day,0,kriging,Spatial Kriging,no3,Gigantes Polygon,0.01661303423541852,0.015309004869330681,-5.549077944777501,56
block_14day,0,kriging,Spatial Kriging,no3,Roxas Polygon,,,,0
block_14day,0,kriging,Spatial Kriging,o2,Gigantes Polygon,1.4907578161082393,1.191272240422131,-0.06553515556432288,56
block_14day,0,kriging,Spatial Kriging,o2,Roxas Polygon,,,,0
block_14day,0,kriging,Spatial Kriging,po4,Gigantes Polygon,0.005698773369400933,0.004339365880463421,0.9516124700422564,56
block_14day,0,kriging,Spatial Kriging,po4,Roxas Polygon,,,,0
block_14day,0,kriging,Spatial Kriging,so,Gigantes Polygon,0.4255596023824094,0.3967599434288507,0.4417312700452112,56
block_14day,0,kriging,Spatial Kriging,so,Roxas Polygon,,,,0
block_14day,0,kriging,Spatial Kriging,thetao,Gigantes Polygon,0.2562206814602163,0.22863501049198234,0.4944858655937493,56
block_14day,0,kriging,Spatial Kriging,thetao,Roxas Polygon,,,,0
block_14day,0,kriging,Spatial Kriging,uo,Gigantes Polygon,0.02425828721408066,0.019644519039713638,0.9519728392786133,56
block_14day,0,kriging,Spatial Kriging,uo,Roxas Polygon,,,,0
block_14day,0,kriging,Spatial Kriging,vo,Gigantes Polygon,0.061868154311671704,0.05113303472853043,-0.01892034698356415,56
block_14day,0,kriging,Spatial Kriging,vo,Roxas Polygon,,,,0
block_14day,0,kriging,Spatial Kriging,NDVI_daily,Gigantes Polygon,0.19699612209991357,0.12066603966159573,-0.058385751346477166,56
block_14day,0,kriging,Spatial Kriging,NDVI_daily,Roxas Polygon,,,,0
block_14day,0,kriging,Spatial Kriging,NDVI_raw,Gigantes Polygon,0.11183982564777295,0.11183982564777295,,56
block_14day,0,kriging,Spatial Kriging,NDVI_raw,Roxas Polygon,,,,0
block_14day,0,kriging,Spatial Kriging,precip_mm_day,Gigantes Polygon,5.704588002915976,4.180697668717438,0.47244969765223965,56
block_14day,0,kriging,Spatial Kriging,precip_mm_day,Roxas Polygon,,,,0
block_14day,0,kriging,Spatial Kriging,wind_speed_ms,Gigantes Polygon,0.4188513419928555,0.3183255472943433,0.9652086059650649,56
block_14day,0,kriging,Spatial Kriging,wind_speed_ms,Roxas Polygon,,,,0
block_14day,0,kriging,Spatial Kriging,wind_u_ms,Gigantes Polygon,0.49548441937042104,0.4054469772421006,0.9732417759013743,56
block_14day,0,kriging,Spatial Kriging,wind_u_ms,Roxas Polygon,,,,0
block_14day,0,kriging,Spatial Kriging,wind_v_ms,Gigantes Polygon,0.43641306314587625,0.3161290362262851,0.9821740039893735,56
block_14day,0,kriging,Spatial Kriging,wind_v_ms,Roxas Polygon,,,,0
block_14day,0,hybrid_sequential,Hybrid: Sequential Temporal->Spatial,CHL,Gigantes Polygon,0.33270079807870123,0.23631729563095233,-0.9579427024176534,56
block_14day,0,hybrid_sequential,Hybrid: Sequential Temporal->Spatial,CHL,Roxas Polygon,0.6505789964345401,0.4715287547976191,0.4511271916146541,56
block_14day,0,hybrid_sequential,Hybrid: Sequential Temporal->Spatial,mlotst,Gigantes Polygon,3.7290885339454385,2.579177489841268,-0.5105161743775786,56
